"","DATE","TIME","BOROUGH","ZIP CODE","LATITUDE","LONGITUDE","LOCATION","ON STREET NAME","CROSS STREET NAME","OFF STREET NAME","NUMBER OF PERSONS INJURED","NUMBER OF PERSONS KILLED","NUMBER OF PEDESTRIANS INJURED","NUMBER OF PEDESTRIANS KILLED","NUMBER OF CYCLIST INJURED","NUMBER OF CYCLIST KILLED","NUMBER OF MOTORIST INJURED","NUMBER OF MOTORIST KILLED","CONTRIBUTING FACTOR VEHICLE 1","CONTRIBUTING FACTOR VEHICLE 2","CONTRIBUTING FACTOR VEHICLE 3","CONTRIBUTING FACTOR VEHICLE 4","CONTRIBUTING FACTOR VEHICLE 5","UNIQUE KEY","VEHICLE TYPE CODE 1","VEHICLE TYPE CODE 2","VEHICLE TYPE CODE 3","VEHICLE TYPE CODE 4","VEHICLE TYPE CODE 5","YEAR","MONTH","MDAY","WDAY","YDAY","TOTAL_YDAY","severity"
"433",2016-12-09,12:43:00,"QUEENS","11375",40.7106276,-73.8518918,"(40.7106276, -73.8518918)","METROPOLITAN AVENUE","70 DRIVE",NA,0,1,0,0,0,0,0,1,"Unspecified",NA,NA,NA,NA,3576771,"SPORT UTILITY / STATION WAGON",NA,NA,NA,NA,2016,12,9,6,344,366,"Fatal"
"434",2016-12-09,16:51:00,"MANHATTAN","10018",40.7577322,-73.9968524,"(40.7577322, -73.9968524)","WEST 39 STREET","10 AVENUE",NA,0,1,0,1,0,0,0,0,"Failure to Yield Right-of-Way",NA,NA,NA,NA,3576805,NA,NA,NA,NA,NA,2016,12,9,6,344,366,"Fatal"
"435",2016-12-09,08:30:00,"BROOKLYN","11207",40.679466,-73.90037,"(40.679466, -73.90037)",NA,NA,"1700      BUSHWICK AVENUE",0,1,0,0,0,0,0,1,"Unspecified","Unspecified","Unspecified","Unspecified",NA,3577121,"TAXI","PASSENGER VEHICLE","PASSENGER VEHICLE","PASSENGER VEHICLE","TAXI",2016,12,9,6,344,366,"Fatal"
"436",2016-12-06,20:00:00,NA,NA,40.694843,-73.95248,"(40.694843, -73.95248)","NOSTRAND AVENUE",NA,NA,0,1,0,1,0,0,0,0,"Driver Inattention/Distraction",NA,NA,NA,NA,3575461,NA,NA,NA,NA,NA,2016,12,6,3,341,366,"Fatal"
"437",2016-12-05,23:12:00,NA,NA,40.7564071,-73.8534802,"(40.7564071, -73.8534802)",NA,NA,NA,0,1,0,1,0,0,0,0,"Unspecified","Unspecified",NA,NA,NA,3573709,"TAXI","TAXI",NA,NA,NA,2016,12,5,2,340,366,"Fatal"
"438",2016-12-04,02:13:00,"BROOKLYN","11218",40.641396,-73.98908,"(40.641396, -73.98908)","12 AVENUE","40 STREET",NA,1,1,0,0,0,0,1,1,"Traffic Control Disregarded","Unspecified","Unspecified",NA,NA,3572530,"MOTORCYCLE","PASSENGER VEHICLE","SPORT UTILITY / STATION WAGON","MOTORCYCLE","PASSENGER VEHICLE",2016,12,4,1,339,366,"Fatal"
"439",2016-12-04,05:12:00,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,0,0,0,"Unspecified",NA,NA,NA,NA,3572566,NA,NA,NA,NA,NA,2016,12,4,1,339,366,"Fatal"
"440",2016-12-03,20:27:00,NA,NA,NA,NA,NA,"UNION TURNPIKE","GRAND CENTRAL PARKWAY",NA,1,1,0,0,0,0,1,1,"Unsafe Speed",NA,NA,NA,NA,3575828,"SPORT UTILITY / STATION WAGON","SPORT UTILITY / STATION WAGON",NA,NA,NA,2016,12,3,7,338,366,"Fatal"
"441",2016-12-01,11:12:00,"BROOKLYN","11249",40.7085282,-73.9684503,"(40.7085282, -73.9684503)","KENT AVENUE","south 10 st",NA,0,1,0,1,0,0,0,0,"Unspecified",NA,NA,NA,NA,3571608,NA,NA,NA,NA,NA,2016,12,1,5,336,366,"Fatal"
"442",2016-11-21,17:11:00,"BRONX","10458",NA,NA,NA,"SOUTHERN BOULEVARD","EAST BEDFORD PARK BOULEVARD",NA,0,1,0,1,0,0,0,0,"Unspecified",NA,NA,NA,NA,3565687,"SPORT UTILITY / STATION WAGON","SPORT UTILITY / STATION WAGON","SPORT UTILITY / STATION WAGON",NA,NA,2016,11,21,2,326,366,"Fatal"
